Provider,IP_Claim_Count,OP_Claim_Count,IP_Total_Reimbursement,OP_Total_Reimbursement,IP_Avg_Reimbursement,OP_Avg_Reimbursement,Total_Unique_Beneficiaries,Claims_Per_Beneficiary,Reimbursement_Per_Claim,IP_Claim_Share
PRV51001,1.791759469228055,3.044522437723423,11.48247656671073,8.941283763647567,9.873079890114704,5.948034989180646,3.218875824868201,0.713766467762681,8.33964422766042,0.2
PRV51003,4.143134726391533,4.262679877041316,13.258642740896052,10.394243113248184,9.131614807241604,6.147857608875767,4.770684624465665,0.7552789616669515,8.431506556403065,0.4696969696969697
PRV51004,0.0,5.010635294096256,0.0,10.862282063937007,0.0,5.861168566853116,4.934473933130692,0.7322285306024162,5.861168566853116,0.0
PRV51005,0.0,7.061334366910438,0.0,12.545793172168969,0.0,5.489451906006846,6.206575926724928,1.2100151187818986,5.489451906006846,0.0
PRV51007,1.3862943611198906,4.248495242049359,9.852246888342531,9.596350792250211,8.753739851753249,5.366856028617313,4.07753744390572,0.8070914399091631,6.151017276224235,0.0416666666666666
PRV51008,1.0986122886681098,3.737669618283368,10.12667110305036,9.271529540288606,9.433563920090563,5.561712993912257,3.610917912644224,0.7859289140109115,6.720949263412126,0.0465116279069767
PRV51011,0.6931471805599453,4.060443010546419,8.517393171418904,9.36142922633904,8.517393171418904,5.323181124098607,3.9889840465642745,0.7392382877602123,5.662002166694134,0.0172413793103448
PRV51012,0.0,3.8918202981106265,0.0,9.734536214680343,0.0,5.866113886573653,3.4657359027997265,0.9354606479818752,5.866113886573653,0.0
PRV51013,0.0,3.8501476017100575,0.0,9.60784051043005,0.0,5.782218541202238,3.80666248977032,0.7156200364120039,5.782218541202238,0.0
PRV51014,0.0,3.4339872044851463,0.0,9.257319373170178,0.0,5.858885082208841,3.258096538021482,0.7884573603642702,5.858885082208841,0.0
PRV51015,0.0,2.19722457733622,0.0,6.55250788703459,0.0,4.483002552013883,2.079441541679836,0.7621400520468967,4.483002552013883,0.0
PRV51016,0.0,1.9459101490553128,0.0,5.14166355650266,0.0,3.3787245258100964,1.9459101490553128,0.6931471805599453,3.3787245258100964,0.0
PRV51017,0.0,6.246106765481563,0.0,11.868646954515746,0.0,5.628075016388676,6.042632833682381,0.8002918180112731,5.628075016388676,0.0
PRV51021,3.4011973816621555,5.43372200355424,12.502470376049184,11.287667179180453,9.135278629478227,5.861161022016035,5.342334251964811,0.8044993258860383,7.2140003688909555,0.11284046692607
PRV51023,2.302585092994046,3.332204510175204,10.896757843893464,9.359708203627006,8.699681400989514,6.066108090103747,3.58351893845611,0.7073318155519017,7.508513010248735,0.25
PRV51024,2.302585092994046,3.4339872044851463,11.0186455364637,8.02322468471667,8.821552095919735,4.631487494305465,3.6635616461296463,0.7062192621272981,7.404466375188698,0.2307692307692307
PRV51025,2.6390573296152584,4.31748811353631,11.362114203075018,10.384400211352366,8.797304369140862,6.082589075103975,4.343805421853684,0.7630168605204312,7.216228333959504,0.1494252873563218
PRV51026,0.0,4.343805421853684,0.0,9.895505782794473,0.0,5.568545367475743,4.04305126783455,0.8574502318512216,5.568545367475743,0.0
PRV51027,0.0,3.9889840465642745,0.0,10.303638565820524,0.0,6.335087704705388,3.80666248977032,0.7905213445851217,6.335087704705388,0.0
PRV51029,0.0,4.543294782270004,0.0,10.330746767679962,0.0,5.801143336298256,4.382026634673881,0.7780466243464316,5.801143336298256,0.0
PRV51030,4.418840607796598,4.499809670330265,13.466805200907274,10.438839921478715,9.060200742810167,5.952776276451696,4.983606621708336,0.7790084711663375,8.372648661087029,0.47953216374269
PRV51031,3.367295829986474,5.062595033026967,12.703816069256568,10.332701738815134,9.37169362233394,5.281521043811945,5.062595033026967,0.7785649317142971,7.573239561640279,0.1513513513513513
PRV51032,0.0,3.1780538303479458,0.0,8.598035579260339,0.0,5.466591442505051,3.091042453358316,0.7396671961948381,5.466591442505051,0.0
PRV51035,0.6931471805599453,3.4011973816621555,10.275085591132717,8.177796683277778,10.275085591132717,4.818333061161133,3.258096538021482,0.7884573603642702,6.990563390169452,0.0333333333333333
PRV51036,0.0,5.631211781821365,0.0,11.223655465763157,0.0,5.599726729583832,4.882801922586371,1.1385178328416503,5.599726729583832,0.0
PRV51037,3.1780538303479458,6.068425588244111,12.273735966890268,11.761588603909846,9.138344548935152,5.69882822725448,5.332718793265369,1.16436366623089,6.626466820666067,0.0506607929515418
PRV51038,3.4339872044851463,4.718498871295094,12.34409829881876,10.48824184666795,8.94302721525076,5.781771793517895,4.68213122712422,0.840599911703076,7.541103516262834,0.2127659574468085
PRV51040,2.302585092994046,4.356708826689592,11.050905878263569,9.347577390281268,8.853808274977197,5.010375520098172,4.248495242049359,0.8093186123219872,6.764958503598186,0.1046511627906976
PRV51041,0.0,3.555348061489413,0.0,8.910720661951359,0.0,5.38880309314598,3.4657359027997265,0.7404000654104909,5.38880309314598,0.0
