iter	Logloss
0	0.6091777103
1	0.5419737032
2	0.4912016101
3	0.4483683281
4	0.4140514842
5	0.375193982
6	0.3478875587
7	0.3235846529
8	0.2996180067
9	0.2794182294
10	0.2611383628
11	0.2512874603
12	0.2412842863
13	0.2298110799
14	0.2200155556
15	0.2127452549
16	0.2060932388
17	0.1997437616
18	0.1949785611
19	0.1906987856
20	0.1870017993
21	0.1831133241
22	0.1789433376
23	0.1755434333
24	0.1720862654
25	0.1692525431
26	0.1672224356
27	0.1651683234
28	0.1624677979
29	0.1612551567
30	0.1594276803
31	0.158299572
32	0.1571843234
33	0.1556506688
34	0.1549435246
35	0.1537176112
36	0.1526492411
37	0.1513137685
38	0.1499646094
39	0.1489003683
40	0.1478615885
41	0.1469909858
42	0.1457458656
43	0.144864174
44	0.1442126906
45	0.1432755639
46	0.142309004
47	0.14155838
48	0.1408770255
49	0.1406007801
50	0.1399234821
51	0.1394218956
52	0.1388922911
53	0.1383125532
54	0.1376351639
55	0.1371946651
56	0.1366937505
57	0.1361541981
58	0.1356871489
59	0.135152732
60	0.1344934684
61	0.1338933707
62	0.1335868117
63	0.1333703399
64	0.1328804447
65	0.1323423066
66	0.1316160579
67	0.1311732377
68	0.1308953742
69	0.1305972654
70	0.1303201088
71	0.1297956837
72	0.1292969728
73	0.1290113629
74	0.1286078324
75	0.1281435956
76	0.1276241907
77	0.1273096918
78	0.1269469092
79	0.1267069215
80	0.1263278379
81	0.1260902619
82	0.1258925536
83	0.1255274149
84	0.1251375289
85	0.1248044689
86	0.1243493616
87	0.1239790565
88	0.1236965239
89	0.1233443802
90	0.1227414444
91	0.1224308926
92	0.1220841259
93	0.121635954
94	0.1213408055
95	0.1209276661
96	0.1207169859
97	0.1203403125
98	0.1199784962
99	0.1195288817
100	0.1192775878
101	0.1190804946
102	0.1188222822
103	0.1184666795
104	0.1183314182
105	0.1181849206
106	0.1178904823
107	0.1175634306
108	0.1172202816
109	0.1171239273
110	0.1167582446
111	0.116615822
112	0.1163878697
113	0.1161655752
114	0.1159552764
115	0.115646963
116	0.1152853808
117	0.1151044652
118	0.1149426682
119	0.1144497668
120	0.1142649576
121	0.1141257164
122	0.1135901862
123	0.1133237771
124	0.1129940089
125	0.1126768236
126	0.1123641972
127	0.1119266563
128	0.111669231
129	0.1113450648
130	0.1108258965
131	0.1105657072
132	0.1102962789
133	0.1099763492
134	0.1096797914
135	0.1095619503
136	0.1093816445
137	0.108890218
138	0.1085098412
139	0.108256697
140	0.1080422772
141	0.10771816
142	0.1075878835
143	0.1071814609
144	0.1069760182
145	0.106764429
146	0.106390583
147	0.1062007889
148	0.1059221737
149	0.1056149487
150	0.10547637
151	0.1050519973
152	0.1048530082
153	0.1046694244
154	0.1044560242
155	0.1041123395
156	0.1037531854
157	0.1035863991
158	0.1033591699
159	0.1031009792
160	0.1029156031
161	0.102723399
162	0.1023905006
163	0.1019974487
164	0.1017852358
165	0.1015063949
166	0.1012096352
167	0.1009117995
168	0.1005737441
169	0.1003027887
170	0.09991985084
171	0.09943713286
172	0.09906371585
173	0.09859944749
174	0.09828145208
175	0.0981310565
176	0.09787585424
177	0.09776470592
178	0.09746042982
179	0.09708776016
180	0.09685905325
181	0.09671694029
182	0.09638167051
183	0.09616032768
184	0.09588576279
185	0.09569806833
186	0.0954684672
187	0.0952000723
188	0.09502621063
189	0.09478132985
190	0.09460456183
191	0.09430779701
192	0.09400690412
193	0.09371861629
194	0.09335365622
195	0.09310571908
196	0.09292911778
197	0.09259999423
198	0.09233740051
199	0.09213692357
200	0.09192377427
201	0.09168770465
202	0.09121400945
203	0.0910571285
204	0.09078983226
205	0.09052382176
206	0.09045529226
207	0.09034440937
208	0.09001728045
209	0.08980374924
210	0.08964401121
211	0.08939696621
212	0.08903759004
213	0.08885491356
214	0.08874394567
215	0.08851635989
216	0.08826390281
217	0.08782953376
218	0.08745798111
219	0.0871626643
220	0.08695477095
221	0.08657067574
222	0.0862331324
223	0.08610440148
224	0.08559324907
225	0.08536238594
226	0.08511166793
227	0.08498980216
228	0.08452936714
229	0.08423180331
230	0.08399851158
231	0.08369675977
232	0.08339986895
233	0.08327397373
234	0.08299524554
235	0.0827930721
236	0.08251314869
237	0.08230177238
238	0.08215874591
239	0.0819580785
240	0.08166894022
241	0.08136755885
242	0.08116867987
243	0.08089187262
244	0.08068784348
245	0.08039955064
246	0.08015410402
247	0.07994292952
248	0.07976639985
249	0.07954951223
250	0.07941177131
251	0.07920636275
252	0.07881967961
253	0.07856255493
254	0.07831614951
255	0.07810962417
256	0.07794731169
257	0.07787070021
258	0.07770883038
259	0.07755968044
260	0.07743889904
261	0.07733876208
262	0.07710178598
263	0.07684520688
264	0.07672521391
265	0.07653996758
266	0.0764192779
267	0.07626049358
268	0.07619014198
269	0.07600836235
270	0.07569782606
271	0.07549628729
272	0.07511313562
273	0.0748656645
274	0.07469597294
275	0.07456278288
276	0.07426452316
277	0.07407339032
278	0.07395668873
279	0.07365825397
280	0.07340393567
281	0.07330661172
282	0.07319361945
283	0.07298336009
284	0.07294758069
285	0.07268648785
286	0.07253271796
287	0.07243834334
288	0.07226910226
289	0.07214782852
290	0.07194822747
291	0.07172146207
292	0.07159901244
293	0.0712162638
294	0.07101082029
295	0.07083632019
296	0.07072698588
297	0.07060290263
298	0.07041883692
299	0.0701667509
