Provider,TotalClaims,AnomalousClaims,MeanReconstructionError,MedianReconstructionError,P95ReconstructionError,MaxReconstructionError,AverageRiskScore,P95RiskScore,MaximumRiskScore,PotentialFraud,AnomalyRate,AnomalyRateRank,P95ErrorRank,MeanErrorRank,MaxErrorRank,VolumeRank,ProviderRiskScore,RiskLevel,InvestigationRank
PRV54981,95,6,0.09344180102981385,0.0614467315121209,0.363981537683499,0.6034637018629635,5.6214736842105255,21.901999999999994,36.31,No,6.315789473684211,0.965988909426987,0.9927911275415896,0.9637707948243993,0.94362292051756,0.7657116451016636,96.39,Critical,1
PRV56007,81,6,0.09702274904112634,0.0708327705828233,0.4216568625075669,0.5504250928060587,5.836172839506173,25.37,33.12,Yes,7.4074074074074066,0.9738447319778188,0.9961182994454714,0.9711645101663586,0.9020332717190388,0.7338262476894639,96.29,Critical,2
PRV54577,61,4,0.09021138198338839,0.0528616570549625,0.2636222934924296,1.051187335879287,5.427377049180328,15.86,63.25,No,6.557377049180328,0.9669131238447319,0.9817005545286507,0.9591497227356747,0.9957486136783734,0.6654343807763401,95.87,Critical,3
PRV55531,122,6,0.0888205944585617,0.0595290337213836,0.24243959114656743,1.0248039325807172,5.343360655737705,14.584999999999992,61.67,Yes,4.918032786885246,0.9515711645101663,0.9730129390018484,0.955637707948244,0.9951940850277264,0.8114602587800369,95.85,Critical,4
PRV54461,12,1,0.16289632999882006,0.0672280050802508,0.5651553973082778,1.072125982221117,9.800833333333335,34.00699999999996,64.51,No,8.333333333333332,0.9784658040665435,0.9987060998151571,0.9950092421441774,0.9959334565619223,0.28789279112754157,95.79,Critical,5
PRV56174,10,1,0.16165459587755782,0.06652165991590986,0.6213614819347745,0.9338367930493884,9.728,37.38899999999995,56.19,No,10.0,0.983086876155268,0.999445471349353,0.9948243992606285,0.9927911275415896,0.25619223659889095,95.72,Critical,6
PRV57631,18,2,0.1284450341289829,0.0873623336917442,0.3354035009485986,0.7677133617650811,7.728333333333334,20.181499999999957,46.2,Yes,11.11111111111111,0.9854898336414049,0.9898336414048059,0.988724584103512,0.9831792975970425,0.36857670979667284,95.7,Critical,7
PRV55809,10,1,0.14935609127702698,0.0643461846711057,0.5466333788224306,0.8541050779355369,8.986,32.89049999999996,51.39,No,10.0,0.983086876155268,0.9985212569316081,0.9922365988909427,0.9898336414048059,0.25619223659889095,95.59,Critical,8
PRV57334,68,3,0.09860992761698187,0.06092851322804465,0.23915472022811915,0.9410376525973856,5.932205882352941,14.3895,56.62,No,4.411764705882353,0.9444547134935305,0.9704251386321626,0.9724584103512015,0.9933456561922366,0.6944547134935305,95.42,Critical,9
PRV55724,31,2,0.10395422985926168,0.0494886435966095,0.25223547138664654,1.2091827935491966,6.2538709677419355,15.175,72.76,No,6.451612903225806,0.9663585951940851,0.9787430683918669,0.978558225508318,0.9977818853974122,0.500554528650647,95.42,Critical,10
PRV52197,10,1,0.1485276183408369,0.0628277579644435,0.48113645101474106,0.6962516554426187,8.936,28.947999999999972,41.89,No,10.0,0.983086876155268,0.9977818853974122,0.9920517560073937,0.9754158964879852,0.25619223659889095,95.41,Critical,11
PRV53336,3,1,0.46624763361018484,0.0527003797296742,1.2041811078208868,1.3321234109421327,28.05666666666667,72.46099999999998,80.16,No,33.33333333333333,0.9970425138632163,1.0,1.0,0.9988909426987062,0.0955637707948244,95.41,Critical,12
PRV54805,5,1,0.17730354040409096,0.034228733994706,0.6484036809839271,0.7999381804751633,10.666,39.01199999999999,48.13,No,20.0,0.9950092421441774,0.999630314232902,0.9957486136783734,0.9870609981515711,0.14972273567467653,95.4,Critical,13
PRV57021,14,1,0.13344752677704816,0.08901418629439806,0.3707197519887106,0.8336132868056523,8.028571428571428,22.307499999999983,50.16,Yes,7.142857142857142,0.971996303142329,0.9929759704251386,0.989648798521257,0.988724584103512,0.31395563770794827,95.36,Critical,14
PRV57017,23,3,0.1206366139519289,0.0629293003021343,0.4663277057495429,0.5283208415507986,7.257391304347825,28.05599999999999,31.79,Yes,13.043478260869565,0.989463955637708,0.9974121996303142,0.9865064695009242,0.888354898336414,0.42606284658040666,95.36,Critical,15
PRV57161,6,1,0.15173524569379163,0.03208817662788305,0.5729993383173875,0.7308826818583852,9.129999999999999,34.48,43.98,No,16.666666666666664,0.9928835489833642,0.9988909426987062,0.9926062846580407,0.9800369685767097,0.17430683918669132,95.3,Critical,16
PRV55121,20,2,0.11616280287111151,0.06901932241766831,0.2913601420708331,0.6151343735996379,6.9885,17.535000000000014,37.01,No,10.0,0.983086876155268,0.9872458410351201,0.9846580406654344,0.9499075785582255,0.3923290203327172,95.23,Critical,17
PRV56395,7,1,0.15523914371985084,0.0755519467112844,0.4997208218831084,0.6607357897422116,9.34,30.069999999999975,39.76,No,14.285714285714285,0.9908502772643253,0.9981515711645101,0.9933456561922366,0.96728280961183,0.19695009242144176,95.23,Critical,18
PRV52849,14,2,0.12060495999494478,0.0342903333892723,0.41849549049735285,0.5903705891630648,7.255,25.178499999999996,35.52,No,14.285714285714285,0.9908502772643253,0.9957486136783734,0.9863216266173752,0.9321626617375232,0.31395563770794827,95.2,Critical,19
PRV55671,2,1,0.46228079424884777,0.46228079424884777,0.7456632698501933,0.7771502115836761,27.814999999999998,44.8655,46.76,No,50.0,0.9983364140480592,0.999815157116451,0.999815157116451,0.9850277264325323,0.06293900184842884,95.12,Critical,20
PRV52231,6,1,0.1308974102529021,0.02070690368733555,0.5102184518637729,0.6517069109236233,7.875,30.6975,39.21,No,16.666666666666664,0.9928835489833642,0.9983364140480592,0.98909426987061,0.9652495378927911,0.17430683918669132,95.04,Critical,21
PRV51878,12,1,0.10383179337648425,0.0413090206440454,0.41053752404759913,0.7148481692725853,6.246666666666666,24.700499999999977,43.01,No,8.333333333333332,0.9784658040665435,0.9948243992606285,0.9783733826247689,0.97818853974122,0.28789279112754157,95.04,Critical,22
PRV54326,5,2,0.25212640507141104,0.08678247548488,0.5745936623882782,0.5893909967144927,15.168000000000001,34.57,35.46,No,40.0,0.9975970425138632,0.9990757855822551,0.9979667282809612,0.9308687615526802,0.14972273567467653,94.92,Critical,23
PRV51560,238,12,0.07823963515144645,0.053905147715930954,0.2425984624696739,0.5759661017616009,4.706470588235295,14.597999999999956,34.66,Yes,5.042016806722689,0.9539741219963032,0.9733826247689464,0.9258780036968577,0.921256931608133,0.905822550831793,94.9,Critical,24
PRV51160,114,6,0.08184979222131038,0.058891082569076145,0.25767680933423603,0.5609338935522009,4.9234210526315785,15.500499999999997,33.75,No,5.263157894736842,0.955637707948244,0.9800369685767097,0.9390018484288355,0.9105360443622921,0.7977818853974122,94.88,Critical,25
PRV55160,10,1,0.15998266199770003,0.11771062474098559,0.41264658399034326,0.5738642588400961,9.625,24.827999999999975,34.53,No,10.0,0.983086876155268,0.9950092421441774,0.9946395563770795,0.9201478743068392,0.25619223659889095,94.81,Critical,26
PRV52621,45,3,0.08067986528023047,0.0551883740643885,0.27786767755486413,0.6791657488844414,4.853555555555555,16.71999999999998,40.87,No,6.666666666666667,0.9686691312384473,0.9841035120147874,0.9353049907578558,0.9719038817005545,0.5910351201478743,94.79,Critical,27
PRV52457,9,1,0.1755945821472084,0.1375285689005557,0.41350983676202996,0.5678886669061726,10.564444444444444,24.88199999999999,34.17,No,11.11111111111111,0.9854898336414049,0.9953789279112755,0.9955637707948244,0.9158964879852126,0.2378003696857671,94.76,Critical,28
PRV53005,50,3,0.08134429205896458,0.040008549617779096,0.24532574282197578,1.0120777098549787,4.8936,14.762999999999993,60.9,Yes,6.0,0.9626617375231054,0.9748613678373382,0.9373382624768947,0.9946395563770795,0.616358595194085,94.71,Critical,29
PRV57716,11,1,0.1219052695348435,0.0598884898244719,0.40131121755004673,0.5833130043356325,7.334545454545454,24.15,35.1,No,9.090909090909092,0.9808687615526802,0.9946395563770795,0.9868761552680222,0.9269870609981515,0.27310536044362294,94.71,Critical,30
PRV52902,46,3,0.09190552716070073,0.0649641528078777,0.3030411761359471,0.5175348999877217,5.529347826086957,18.2325,31.14,No,6.521739130434782,0.966728280961183,0.9883548983364141,0.9611829944547134,0.8824399260628466,0.5973197781885398,94.71,Critical,31
PRV53755,20,1,0.10520985055431879,0.04419197797616875,0.2745449939321731,0.7706335156947993,6.3295,16.521000000000022,46.37,No,5.0,0.9527726432532347,0.9831792975970425,0.9804066543438078,0.9839186691312385,0.3923290203327172,94.69,Critical,32
PRV57076,2,1,0.31863723206349237,0.31863723206349237,0.5767100595790157,0.6053848181918516,19.175,34.704499999999996,36.43,No,50.0,0.9983364140480592,0.9992606284658041,0.9992606284658041,0.944362292051756,0.06293900184842884,94.68,Critical,33
PRV53233,13,1,0.0964464143428714,0.0406067365749906,0.3630431096433846,0.6638618598136244,5.803846153846154,21.847999999999956,39.95,No,7.6923076923076925,0.9756007393715342,0.9926062846580407,0.9704251386321626,0.9685767097966729,0.3012014787430684,94.67,Critical,34
PRV56033,8,1,0.11854833977120012,0.0583423035449771,0.42404530153719944,0.5834366338278937,7.132499999999999,25.516499999999986,35.11,No,12.5,0.9880776340110906,0.9963031423290203,0.9857670979667282,0.9271719038817006,0.21829944547134936,94.62,Critical,35
